user_type,season,month_name,month_num,week_day,day_of_week,hour_block,blocked_hours,ride_count,avg_ride_length,max_ride_length
casual,Winter,January,1,Tuesday,3,10pm,10pm–12am,49,8.65,19
casual,Winter,January,1,Tuesday,3,2pm,2pm–4pm,110,10.17,48
casual,Winter,January,1,Tuesday,3,4am,4am–6am,3,9,13
casual,Winter,January,1,Wednesday,4,7am,6am–8am,94,8.87,31
casual,Winter,January,1,Wednesday,4,6pm,6pm–8pm,144,13.71,137
casual,Winter,January,1,Wednesday,4,3pm,2pm–4pm,141,34.41,1500
casual,Winter,January,1,Wednesday,4,1am,12am–2am,11,15,33
casual,Winter,January,1,Wednesday,4,7pm,6pm–8pm,122,54.98,1500
casual,Winter,January,1,Wednesday,4,1pm,12pm–2pm,108,18.33,202
casual,Winter,January,1,Wednesday,4,4am,4am–6am,7,8.86,16
casual,Winter,January,1,Wednesday,4,10am,10am–12pm,70,61.49,1500
casual,Winter,January,1,Wednesday,4,8am,8am–10am,132,35.21,1500
casual,Winter,January,1,Wednesday,4,10pm,10pm–12am,48,11.5,70
casual,Winter,January,1,Wednesday,4,4pm,4pm–6pm,186,40.8,1500
casual,Winter,January,1,Wednesday,4,11am,10am–12pm,98,56.52,1500
casual,Winter,January,1,Wednesday,4,8pm,8pm–10pm,93,11.42,85
casual,Winter,January,1,Wednesday,4,11pm,10pm–12am,44,40.11,1191
casual,Winter,January,1,Wednesday,4,5am,4am–6am,26,7.31,35
casual,Winter,January,1,Wednesday,4,12am,12am–2am,15,10.6,42
casual,Winter,January,1,Wednesday,4,9am,8am–10am,68,98.06,1500
casual,Winter,January,1,Wednesday,4,12pm,12pm–2pm,109,55.07,1500
casual,Winter,January,1,Wednesday,4,5pm,4pm–6pm,204,26.47,1227
casual,Winter,January,1,Wednesday,4,2am,2am–4am,3,505.67,1500
casual,Winter,January,1,Wednesday,4,9pm,8pm–10pm,69,15.62,66
casual,Winter,January,1,Wednesday,4,2pm,2pm–4pm,122,65.02,1500
casual,Winter,January,1,Wednesday,4,6am,6am–8am,44,7.89,40
casual,Winter,January,1,Wednesday,4,3am,2am–4am,7,21,35
casual,Winter,January,1,Wednesday,4,2am,2am–4am,11,14.27,51
casual,Winter,January,1,Wednesday,4,8pm,8pm–10pm,100,8,32
casual,Winter,January,1,Wednesday,4,9pm,8pm–10pm,72,10.5,39
casual,Winter,January,1,Wednesday,4,1am,12am–2am,22,7.36,29
casual,Winter,January,1,Wednesday,4,1pm,12pm–2pm,135,12.6,355
casual,Winter,January,1,Wednesday,4,10am,10am–12pm,80,9.91,188
casual,Winter,January,1,Wednesday,4,10pm,10pm–12am,57,8.72,60
casual,Winter,January,1,Wednesday,4,11am,10am–12pm,101,13.11,130
casual,Winter,January,1,Wednesday,4,11pm,10pm–12am,53,7.85,31
casual,Winter,January,1,Wednesday,4,12am,12am–2am,30,11.87,49
casual,Winter,January,1,Wednesday,4,12pm,12pm–2pm,148,10.41,60
casual,Winter,January,1,Wednesday,4,7am,6am–8am,133,7.47,24
casual,Winter,January,1,Wednesday,4,9am,8am–10am,98,8.43,44
casual,Winter,January,1,Wednesday,4,2pm,2pm–4pm,147,10.8,111
casual,Winter,January,1,Wednesday,4,3am,2am–4am,6,10.67,29
casual,Winter,January,1,Wednesday,4,3pm,2pm–4pm,196,9.17,62
casual,Winter,January,1,Wednesday,4,4am,4am–6am,2,8,12
casual,Winter,January,1,Wednesday,4,4pm,4pm–6pm,238,9,42
casual,Winter,January,1,Wednesday,4,5am,4am–6am,29,8.03,24
casual,Winter,January,1,Wednesday,4,5pm,4pm–6pm,277,8.94,49
casual,Winter,January,1,Wednesday,4,7pm,6pm–8pm,106,8.31,42
casual,Winter,January,1,Wednesday,4,6pm,6pm–8pm,168,9.26,38
